liste_des_candidats,nuances,voix,percent_inscrits,percent_exprimes,elu_e,dep,circo,link
Mme Claire PITOLLAT,ENS,22 005,"26,32","61,64",Oui,13,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/013/01302.html
M. Alexandre RUPNIK,NUP,13 697,"16,38","38,36",Non,13,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/013/01302.html
Mme Gisèle LELOUIS,RN,14 300,"18,82","54,96",Oui,13,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/013/01303.html
M. Mohamed BENSAADA,NUP,11 718,"15,42","45,04",Non,13,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/013/01303.html
M. Manuel BOMPARD,NUP,17 118,"26,36","73,92",Oui,13,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/013/01304.html
Mme Najat AKODAD,ENS,6 040,"9,30","26,08",Non,13,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/013/01304.html
M. Hendrik DAVI,NUP,17 295,"23,50","56,64",Oui,13,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/013/01305.html
Mme Cathy RACON-BOUZON,ENS,13 240,"17,99","43,36",Non,13,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/013/01305.html
M. Lionel ROYER-PERREAUT,ENS,16 646,"21,20","57,89",Oui,13,06,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/013/01306.html
Mme Éléonore BEZ,RN,12 110,"15,42","42,11",Non,13,06,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/013/01306.html
M. Sébastien DELOGU,NUP,11 960,"17,82","64,68",Oui,13,07,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/013/01307.html
M. Arezki SELLOUM,RN,6 531,"9,73","35,32",Non,13,07,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/013/01307.html
M. Jean-Marc ZULESI,ENS,22 823,"22,19","53,17",Oui,13,08,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/013/01308.html
M. Romain TONUSSI,RN,20 104,"19,55","46,83",Non,13,08,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/013/01308.html
Mme Joëlle MÉLIN,RN,23 757,"23,53","58,64",Oui,13,09,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/013/01309.html
M. Lucas TROTTMANN,NUP,16 756,"16,60","41,36",Non,13,09,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/013/01309.html
M. José GONZALEZ,RN,27 463,"25,17","59,62",Oui,13,10,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/013/01310.html
Mme Marina MESURE,NUP,18 598,"17,05","40,38",Non,13,10,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/013/01310.html
M. Mohamed LAQHILA,ENS,20 753,"22,49","55,19",Oui,13,11,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/013/01311.html
M. Hervé FABRE-AUBRESPY,RN,16 850,"18,26","44,81",Non,13,11,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/013/01311.html
M. Franck ALLISIO,RN,19 175,"20,25","51,37",Oui,13,12,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/013/01312.html
M. Eric DIARD,LR,18 154,"19,17","48,63",Non,13,12,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/013/01312.html
M. Pierre DHARRÉVILLE,NUP,20 105,"21,30","52,01",Oui,13,13,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/013/01313.html
M. Emmanuel FOUQUART,RN,18 548,"19,65","47,99",Non,13,13,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/013/01313.html
Mme Anne-Laurence PETEL,ENS,24 245,"24,41","56,85",Oui,13,14,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/013/01314.html
Mme Hélène LE CACHEUX,NUP,18 404,"18,53","43,15",Non,13,14,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/013/01314.html
M. Romain BAUBRY,RN,25 640,"23,46","53,85",Oui,13,15,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/013/01315.html
Mme Marie-Laurence ANZALONE,ENS,21 975,"20,11","46,15",Non,13,15,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/013/01315.html
M. Emmanuel TACHE DE LA PAGERIE,RN,20 820,"22,69","54,94",Oui,13,16,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/013/01316.html
M. Christophe CAILLAULT,NUP,17 077,"18,61","45,06",Non,13,16,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/013/01316.html
M. Fabrice LE VIGOUREUX,ENS,18 496,"25,41","50,27",Oui,14,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/014/01401.html
Mme Emma FOURREAU,NUP,18 296,"25,13","49,73",Non,14,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/014/01401.html
M. Arthur DELAPORTE,NUP,18 963,"27,63","59,86",Oui,14,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/014/01402.html
Mme Sylvie DUMONT PRIEUX,ENS,12 716,"18,53","40,14",Non,14,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/014/01402.html
M. Jérémie PATRIER-LEITUS,ENS,18 545,"23,24","53,50",Oui,14,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/014/01403.html
Mme Martine VILMET,RN,16 120,"20,21","46,50",Non,14,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/014/01403.html
M. Christophe BLANCHET,ENS,28 920,"27,63","61,08",Oui,14,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/014/01404.html
M. Pierre MOURARET,NUP,18 427,"17,61","38,92",Non,14,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/014/01404.html
M. Bertrand BOUYX,ENS,24 235,"26,19","55,68",Oui,14,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/014/01405.html
Mme Valérie HAREL,NUP,19 288,"20,84","44,32",Non,14,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/014/01405.html
Mme Elisabeth BORNE,ENS,23 435,"24,29","52,46",Oui,14,06,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/014/01406.html
M. Noé GAUCHARD,NUP,21 233,"22,01","47,54",Non,14,06,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/014/01406.html
M. Vincent DESCOEUR,LR,18 165,"28,78","69,02",Oui,15,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/015/01501.html
M. Michel TEYSSEDOU,ENS,8 152,"12,92","30,98",Non,15,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/015/01501.html
M. Jean-Yves BONY,LR,15 443,"29,22","70,65",Oui,15,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/015/01502.html
Mme Martine GUIBERT,ENS,6 416,"12,14","29,35",Non,15,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/015/01502.html
M. Thomas MESNIER,ENS,18 854,"22,51","50,03",Oui,16,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/016/01601.html
M. René PILATO,NUP,18 830,"22,48","49,97",Non,16,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/016/01601.html
Mme Sandra MARSAUD,ENS,19 964,"23,85","55,16",Oui,16,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/016/01602.html
M. Marceau RAPPASSE,RN,16 228,"19,39","44,84",Non,16,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/016/01602.html
Mme Caroline COLOMBIER,RN,19 980,"21,98","50,24",Oui,16,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/016/01603.html
Mme Sylvie MOCOEUR,ENS,19 787,"21,77","49,76",Non,16,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/016/01603.html
M. Olivier FALORNI,DVG,34 576,"31,30","66,11",Oui,17,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/017/01701.html
M. Jean-Marc SOUBESTE,NUP,17 721,"16,04","33,89",Non,17,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/017/01701.html
Mme Anne-Laure BABAULT,ENS,25 863,"23,05","51,76",Oui,17,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/017/01702.html
M. Nordine RAYMOND,NUP,24 107,"21,49","48,24",Non,17,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/017/01702.html
M. Jean-Philippe ARDOUIN,ENS,18 295,"21,73","51,18",Oui,17,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/017/01703.html
Mme Nathalie COLLARD,RN,17 452,"20,73","48,82",Non,17,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/017/01703.html
M. Raphaël GERARD,ENS,21 447,"22,72","50,90",Oui,17,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/017/01704.html
M. Pascal MARKOWSKY,RN,20 685,"21,91","49,10",Non,17,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/017/01704.html
M. Christophe PLASSARD,ENS,28 233,"23,58","51,74",Oui,17,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/017/01705.html
Mme Séverine WERBROUCK,RN,26 336,"21,99","48,26",Non,17,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/017/01705.html
M. François CORMIER BOULIGEON,ENS,17 116,"24,05","57,14",Oui,18,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/018/01801.html
M. Alex CHARPENTIER,NUP,12 840,"18,04","42,86",Non,18,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/018/01801.html
M. Nicolas SANSU,NUP,14 433,"20,96","54,37",Oui,18,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/018/01802.html
Mme Christine POLY,RN,12 113,"17,59","45,63",Non,18,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/018/01802.html
M. Loïc KERVRAN,ENS,20 435,"24,18","54,93",Oui,18,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/018/01803.html
M. Thibaut DE LA TOCNAYE,RN,16 767,"19,84","45,07",Non,18,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/018/01803.html
M. Francis DUBOIS,LR,25 825,"27,94","53,80",Oui,19,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/019/01901.html
Mme Sandrine DEVEAUD,NUP,22 173,"23,99","46,20",Non,19,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/019/01901.html
Mme Frédérique MEUNIER,LR,25 881,"27,78","58,40",Oui,19,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/019/01902.html
Mme Chloé HERZHAFT,NUP,18 433,"19,79","41,60",Non,19,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/019/01902.html
M. Didier MARTIN,ENS,19 473,"27,67","58,03",Oui,21,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/021/02101.html
M. Antoine PEILLON,NUP,14 085,"20,02","41,97",Non,21,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/021/02101.html
M. Benoît BORDAT,ENS,15 715,"21,98","51,70",Oui,21,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/021/02102.html
Mme Catherine HERVIEU,NUP,14 684,"20,54","48,30",Non,21,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/021/02102.html
Mme Fadila KHATTABI,ENS,14 900,"20,53","50,11",Oui,21,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/021/02103.html
Mme Patricia MARC,NUP,14 835,"20,44","49,89",Non,21,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/021/02103.html
M. Hubert BRIGAND,LR,19 291,"28,20","60,68",Oui,21,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/021/02104.html
M. Jean-Marc PONELLE,RN,12 500,"18,27","39,32",Non,21,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/021/02104.html
M. Didier PARIS,ENS,20 031,"23,38","54,24",Oui,21,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/021/02105.html
M. René LIORET,RN,16 900,"19,72","45,76",Non,21,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/021/02105.html
M. Mickaël COSSON,ENS,24 043,"26,16","52,39",Oui,22,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/022/02201.html
Mme Marion GORGIARD,NUP,21 845,"23,77","47,61",Non,22,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/022/02201.html
M. Hervé BERVILLE,ENS,29 411,"28,44","55,83",Oui,22,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/022/02202.html
M. Bruno RICARD,NUP,23 264,"22,49","44,17",Non,22,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/022/02202.html
M. Marc LE FUR,LR,30 012,"33,73","64,87",Oui,22,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/022/02203.html
M. Antoine RAVARD,NUP,16 254,"18,27","35,13",Non,22,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/022/02203.html
Mme Murielle LEPVRAUD,NUP,21 716,"26,77","53,42",Oui,22,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/022/02204.html
M. Yannick KERLOGOT,ENS,18 939,"23,34","46,58",Non,22,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/022/02204.html
M. Eric BOTHOREL,ENS,29 496,"27,38","52,49",Oui,22,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/022/02205.html
Mme Marie-Amélie TROADEC,NUP,26 697,"24,78","47,51",Non,22,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/022/02205.html
Mme Catherine COUTURIER,NUP,21 752,"23,89","51,44",Oui,23,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/023/02301.html
M. Jean-Baptiste MOREAU,ENS,20 532,"22,55","48,56",Non,23,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/023/02301.html
Mme Pascale MARTIN,NUP,18 366,"23,60","51,85",Oui,24,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/024/02401.html
M. Philippe CHASSAING,ENS,17 053,"21,91","48,15",Non,24,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/024/02401.html
M. Serge MULLER,RN,18 891,"22,41","50,44",Oui,24,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/024/02402.html
